,Geo_Place,Geo_Country,English_Country
438,"So Cal, Young Street, Neutral Bay, Lower North Shore, Sydney, North Sydney Council, 2089, Australia", Australia, Australia
439,"ירושלים, מחוז ירושלים, ישראל", ישראל,Israel
440,"Rineh Mountainous Complex, جاده هراز, انهه, بالالاریجان, بخش لاریجان, شهرستان آمل, استان مازندران‎, ایران", ایران, Iran
441,"La Plata, Partido de La Plata, Buenos Aires, Argentina", Argentina, Argentina
442,"บริษัทกนกศิลป์ (ไทยแลนด์) จำกัด, 3-5, ซอยเกษมสันต์ 2, แขวงวังใหม่, เขตปทุมวัน, 10330, ประเทศไทย", ประเทศไทย, Thailand
444,"Salinas, Monterey County, California, United States of America", United States of America, United States of America
445,"Universe, Gammel Fabriksvej, Havnbjerg, Elsmark, Svenstrup, Sønderborg Kommune, Region Syddanmark, 6430, Danmark", Danmark, Denmark
446,"Tannhäuser, Schwarzholz, Hohenberg-Krusemark, Arneburg-Goldbeck, Stendal, Sachsen-Anhalt, Deutschland", Deutschland, Deutschland
448,"Capão da Canoa, Região Geográfica Imediata de Tramandaí - Osório, Aglomeração Urbana do Litoral Norte, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 95555-000, Brasil", Brasil, Brazil
449,"Sydney, Australia", Australia, Australia
450,"Seattle, King County, Washington, United States of America", United States of America, United States of America
451,"Anime World, Central Mall Drive, Everett Mall, Pinehurst, Everett, Snohomish County, Washington, 98203, United States of America", United States of America, United States of America
452,Nigeria,Nigeria,Nigeria
453,South Africa,South Africa,South Africa
455,"Illinois, United States of America", United States of America, United States of America
456,"National Law University, Road 205, Sector 13, Dwarka, Dwarka Tehsil, South West Delhi, Delhi, 110078, India", India, India
457,"Colorado, United States of America", United States of America, United States of America
458,Philippines,Philippines,Philippines
459,"دبي, 24857, United Arab Emirates", United Arab Emirates, United Arab Emirates
460,پاکستان,پاکستان,Pakistan
461,"Nature, Woodbury, Irvine, Orange County, California, 92676, United States of America", United States of America, United States of America
462,ශ්‍රී ලංකාව இலங்கை,ශ්‍රී ලංකාව இலங்கை,Sri Lanka
463,"Waste Isolation Pilot Plant, Eddy County, New Mexico, United States of America", United States of America, United States of America
464,"Creation, Yates Township, Lake County, Michigan, 49304, United States of America", United States of America, United States of America
466,"Philadelphia, Philadelphia County, Pennsylvania, United States of America", United States of America, United States of America
467,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India", India, India
468,"South Staffordshire, Staffordshire, West Midlands, England, United Kingdom", United Kingdom, United Kingdom
469,"Neiva, Huila, 410400, Colombia", Colombia, Colombia
470,"Nashville-Davidson, Davidson County, Tennessee, United States of America", United States of America, United States of America
471,"Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia", Indonesia, Indonesia
472,"Minneapolis, Hennepin County, Minnesota, United States of America", United States of America, United States of America
473,"Northern Penstock, Napa County, California, United States of America", United States of America, United States of America
474,"Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18690, España", España,Spain
475,"Jersey, Saint Lawrence, Jersey", Jersey, Jersey
476,"New York, United States of America", United States of America, United States of America
477,"Грязная, Партизанский городской округ, Приморский край, Дальневосточный федеральный округ, 692854, Россия", Россия, Russia
478,"Kapellen, Antwerpen, Vlaanderen, 2950, België - Belgique - Belgien", België - Belgique - Belgien,Belgium
479,"Taquara, Região Geográfica Imediata de Taquara - Parobé - Igrejinha, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil", Brasil, Brazil
480,"Queensland, Australia", Australia, Australia
482,"Mums Court, Country Club Village, Mobile, Mobile County, Alabama, 36608, United States of America", United States of America, United States of America
483,"Lisboa, 4, Plender Street, Somers Town, London Borough of Camden, London, Greater London, England, NW1 0JT, United Kingdom", United Kingdom, United Kingdom
484,"Wilsonville, Clackamas County, Oregon, United States of America", United States of America, United States of America
486,"Chiriquí, Panama", Panama, Panama
487,"Narrow path - thorn everywhere, Sântelec, Bihor, 417278, România", România, Romania
488,"Rivas-Vaciamadrid, Cuenca del Henares, Comunidad de Madrid, España", España,Spain
490,"İstanbul, Marmara Bölgesi, Türkiye", Türkiye,Turkey
491,"Dublin Road, Cooleeshill, Kyle ED, The Municipal District of Borris-in-Ossory — Mountmellick, County Offaly, Leinster, Ireland", Ireland, Ireland
492,"USSR, 东海路, 河东区街道, 吉阳镇, 吉阳区, 三亚市 / Sanya, 海南省, 560000, China 中国", China 中国,China
493,"Kingston, Luzerne County, Pennsylvania, United States of America", United States of America, United States of America
495,"東京都, 日本 (Japan)", 日本 (Japan), Japan
496,"https://twitter.com/luebbermann/status/1171751921557917696, Bahnhofsanlage, Linden, Langen, Landkreis Offenbach, Hessen, 63225, Deutschland", Deutschland, Germany
497,"Sea Ranch, Sonoma County, California, 95497, United States of America", United States of America, United States of America
498,"Lima, Peru", Peru, Peru
499,Paraguay,Paraguay,Paraguay
500,"South Pasadena, Los Angeles County, California, 91030, United States of America", United States of America, United States of America
501,"Michigan, United States of America", United States of America, United States of America
503,Perú,Perú,Peru
504,"Pernambuquinho, Microrregião de Baturité, Mesorregião Norte Cearense, Ceará, Região Nordeste, 62770000, Brasil", Brasil, Brazil
505,"Great Britain, Essex, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom", United Kingdom, United Kingdom
506,"Consulate of the People's Republic of China - Economic and Comercial Affairs, 39, George Street, Redfern, Sydney, Council of the City of Sydney, 2016, Australia", Australia, Australia
507,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America", United States of America, United States of America
508,"Bellingham, Whatcom County, Washington, United States of America", United States of America, United States of America
509,"Kütahya, Ege Bölgesi, Türkiye", Türkiye,Turkey
510,"Native Texan Trail, Spanish Oaks, Travis County, Texas, United States of America", United States of America, United States of America
511,"Virginia, United States of America", United States of America, United States of America
512,"Palembang, Sumatera Selatan, Indonesia", Indonesia, Indonesia
513,"Ciudad Nueva, Santa Rita, Posadas, Municipio de Posadas, Departamento Capital, Misiones, Argentina", Argentina, Argentina
514,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India", India, India
515,"Rawalpindi, Railway Station Road, KAMRAN CHOWK, صدر, راولپنڈی کینٹ, پنجاب, 23451, پاکستان", پاکستان, Pakistan
516,"De Aquí y De Allá, Avenida 2, Los Yoses, San Pedro, Cantón Montes de Oca, Provincia San José, 11501, Costa Rica", Costa Rica, Costa Rica
518,"Oklahoma, United States of America", United States of America, United States of America
520,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
521,"PG&Co, Station Road, Westgate-on-Sea, Thanet, Kent, South East, England, CT8 8RF, United Kingdom", United Kingdom, United Kingdom
522,Kenya,Kenya,Kenya
524,"Scotland, United Kingdom", United Kingdom, United Kingdom
525,"Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
526,"武汉市, 江岸区, 武汉市, 湖北省, 430062, China 中国", China 中国,China
529,"Eureka Springs, Carroll County, Arkansas, United States of America", United States of America, United States of America
530,"North Carolina, United States of America", United States of America, United States of America
532,"Peebles, Adams County, Ohio, United States of America", United States of America, United States of America
533,"Das Gramm, 7, Neutorgasse, Innere Stadt, Graz, Steiermark, 8010, Österreich", Österreich, Austria
534,"کراچی, Karāchi District, سنڌ, 74400, پاکستان", پاکستان, Pakistan
535,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España", España,Spain
536,"Aldeburgh, Suffolk, East of England, England, IP15 5AB, United Kingdom", United Kingdom, United Kingdom
537,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States of America", United States of America, United States of America
538,"Jawa Timur, Indonesia", Indonesia, Indonesia
540,België / Belgique / Belgien,België / Belgique / Belgien,Belgium
541,"San Antonio, Bexar County, Texas, United States of America", United States of America, United States of America
542,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
543,"Nova Scotia, Canada", Canada, Canada
545,"Bryson City, Swain County, North Carolina, United States of America", United States of America, United States of America
546,"Asaba, Oshimili South, Delta, Nigeria", Nigeria, Nigeria
547,"Kuala Lumpur, Malaysia", Malaysia, Malaysia
548,Polska,Polska,Poland
549,"Travel Centers of America - Lincoln, Yatesville, Lincoln, Talladega County, Alabama, United States of America", United States of America, United States of America
551,Brunei,Brunei,Brunei
552,"Faridabad, Haryana, 121001, India", India, India
553,Україна,Україна,Ukraine
554,"Humanity, 108, High Street, Hustpierpoint, Hurstpierpoint and Sayers Common, Mid Sussex, West Sussex, South East, England, BN6 9PX, United Kingdom", United Kingdom, United Kingdom
555,"Los Angeles, Los Angeles County, California, United States of America", United States of America, United States of America
556,United Kingdom,United Kingdom,United Kingdom
557,ประเทศไทย,ประเทศไทย,Thailand
558,"Oak Park, Cook County, Illinois, United States of America", United States of America, United States of America
559,"Dal, Eidsvoll, Viken, 2072, Norge", Norge, Norway
561,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria", Nigeria, Nigeria
562,"Kenilworth, Warwickshire, West Midlands, England, CV8 1NJ, United Kingdom", United Kingdom, United Kingdom
